player,player_key,team_last,games,first_pa_no_hit_games,hits_after_first_no_hit,recovery_hit_rate_after_0for1,bayes_recovery_hit_rate,first_pa_hit_rate,full_game_hit_rate,avg_remaining_pa_after_0for1,avg_lineup_slot,leadoff_samples,leadoff_recovery_hit_rate,buyback_score,fair_live_odds_after_0for1,sample_flag
Brandon Valenzuela,brandon valenzuela,TOR,12,11,8,0.7272727272727273,0.5783442988245979,0.08333333333333333,0.75,2.909090909090909,8.416666666666666,0,,66.69742292190296,-137,usable
Cole Young,cole young,SEA,17,15,10,0.6666666666666666,0.5667377360357686,0.11764705882352941,0.7058823529411765,3.0,6.294117647058823,1,1.0,66.20931566262786,-131,strong
Luis Arraez,luis arraez,SF,17,15,10,0.6666666666666666,0.5667377360357686,0.11764705882352941,0.7058823529411765,3.4,2.4705882352941178,0,,66.20931566262786,-131,strong
Pete Crow-Armstrong,pete crow-armstrong,CHC,17,15,10,0.6666666666666666,0.5667377360357686,0.11764705882352941,0.7058823529411765,3.533333333333333,4.470588235294118,8,0.75,66.20931566262786,-131,strong
Colton Cowser,colton cowser,BAL,15,13,9,0.6923076923076923,0.5720767549186301,0.13333333333333333,0.7333333333333333,1.6153846153846154,7.266666666666667,0,,65.80400186463949,-134,strong
Alex Bregman,alex bregman,CHC,17,9,7,0.7777777777777778,0.5858056606174168,0.47058823529411764,0.8823529411764706,3.4444444444444446,3.235294117647059,0,,65.45409547350638,-141,usable
Zack Gelof,zack gelof,ATH,17,16,10,0.625,0.5464971026059197,0.058823529411764705,0.6470588235294118,3.375,6.647058823529412,0,,65.22348761376061,-121,strong
Alec Bohm,alec bohm,PHI,16,13,9,0.6923076923076923,0.5720767549186301,0.1875,0.75,3.230769230769231,4.125,0,,64.88733519797283,-134,strong
Iván Herrera,ivan herrera,STL,16,13,9,0.6923076923076923,0.5720767549186301,0.1875,0.75,3.3846153846153846,2.0,0,,64.88733519797283,-134,strong
Maikel Garcia,maikel garcia,KC,15,11,8,0.7272727272727273,0.5783442988245979,0.26666666666666666,0.8,3.3636363636363638,1.2666666666666666,10,0.7,64.7844298824598,-137,usable
Brandon Marsh,brandon marsh,PHI,15,14,9,0.6428571428571429,0.5500738028063751,0.06666666666666667,0.6666666666666666,2.5714285714285716,5.533333333333333,0,,64.72037332008067,-122,strong
Munetaka Murakami,munetaka murakami,CWS,15,14,9,0.6428571428571429,0.5500738028063751,0.06666666666666667,0.6666666666666666,3.2857142857142856,2.066666666666667,0,,64.72037332008067,-122,strong
Ceddanne Rafaela,ceddanne rafaela,BOS,14,11,8,0.7272727272727273,0.5783442988245979,0.21428571428571427,0.7857142857142857,3.4545454545454546,3.357142857142857,0,,64.64157273960265,-137,usable
Luke Keaschall,luke keaschall,MIN,14,11,8,0.7272727272727273,0.5783442988245979,0.21428571428571427,0.7857142857142857,2.6363636363636362,6.928571428571429,0,,64.64157273960265,-137,usable
Daylen Lile,daylen lile,WSH,18,16,10,0.625,0.5464971026059197,0.1111111111111111,0.6666666666666666,3.5,5.388888888888889,0,,64.37381441114624,-121,strong
Trea Turner,trea turner,PHI,16,14,9,0.6428571428571429,0.5500738028063751,0.125,0.6875,3.4285714285714284,1.3125,9,0.5555555555555556,63.762039986747325,-122,strong
Andrew Vaughn,andrew vaughn,MIL,14,12,8,0.6666666666666666,0.5542466197069064,0.14285714285714285,0.7142857142857143,2.25,5.083333333333333,0,,63.19003596251475,-124,strong
Jake Bauers,jake bauers,MIL,14,12,8,0.6666666666666666,0.5542466197069064,0.14285714285714285,0.7142857142857143,3.1666666666666665,5.214285714285714,0,,63.19003596251475,-124,strong
Connor Wong,connor wong,BOS,5,5,4,0.8,0.5471716984097501,0.0,0.8,2.8,8.0,0,,63.04682954708483,-121,usable
Brett Baty,brett baty,NYM,17,14,9,0.6428571428571429,0.5500738028063751,0.17647058823529413,0.7058823529411765,2.7142857142857144,6.294117647058823,0,,62.91645175145321,-122,strong
Michael Busch,michael busch,CHC,17,14,9,0.6428571428571429,0.5500738028063751,0.17647058823529413,0.7058823529411765,3.5,3.235294117647059,0,,62.91645175145321,-122,strong
Xavier Edwards,xavier edwards,MIA,18,12,8,0.6666666666666666,0.5542466197069064,0.3333333333333333,0.7777777777777778,3.3333333333333335,1.2222222222222223,11,0.6363636363636364,62.60243974846841,-124,strong
Juan Soto,juan soto,NYM,16,10,7,0.7,0.5591781305893524,0.375,0.8125,3.2,3.0,0,,62.54281305893524,-127,usable
Jesús Sánchez,jesus sanchez,TOR,15,10,7,0.7,0.5591781305893524,0.3333333333333333,0.8,2.2,5.533333333333333,0,,62.41781305893524,-127,usable
José Ramírez,jose ramirez,CLE,16,12,8,0.6666666666666666,0.5542466197069064,0.25,0.75,3.5,2.0,0,,62.324661970690634,-124,strong
Ben Rice,ben rice,NYY,15,12,8,0.6666666666666666,0.5542466197069064,0.2,0.7333333333333333,3.4166666666666665,2.2,3,0.3333333333333333,62.23765501013379,-124,strong
Cody Bellinger,cody bellinger,NYY,15,12,8,0.6666666666666666,0.5542466197069064,0.2,0.7333333333333333,3.3333333333333335,3.7333333333333334,0,,62.23765501013379,-124,strong
Jeremiah Jackson,jeremiah jackson,BAL,12,11,7,0.6363636363636364,0.5348660379550327,0.08333333333333333,0.6666666666666666,2.1818181818181817,7.7272727272727275,0,,61.516263501613096,-115,usable
Kyle Stowers,kyle stowers,MIA,17,16,9,0.5625,0.510782816891634,0.058823529411764705,0.5882352941176471,3.125,4.117647058823529,0,,61.181470807037925,-104,strong
Oswald Peraza,oswald peraza,LAA,15,13,8,0.6153846153846154,0.53207675491863,0.13333333333333333,0.6666666666666666,2.769230769230769,6.8,0,,61.13733519797283,-114,strong
Charles McAdoo,charles mcadoo,TOR,2,2,2,1.0,0.521565633783268,0.0,1.0,3.0,6.5,0,,61.13622308443662,-109,thin
Kerry Carpenter,kerry carpenter,DET,2,2,2,1.0,0.521565633783268,0.0,1.0,2.5,3.5,0,,61.13622308443662,-109,thin
Chase Meidroth,chase meidroth,CWS,18,15,9,0.6,0.5297006989987315,0.16666666666666666,0.6666666666666666,3.2,4.333333333333333,2,1.0,61.133062939316304,-113,strong
CJ Abrams,cj abrams,WSH,18,15,9,0.6,0.5297006989987315,0.16666666666666666,0.6666666666666666,3.4,4.0,0,,61.133062939316304,-113,strong
Nathan Lukes,nathan lukes,TOR,6,3,3,1.0,0.5534612581977167,0.5,1.0,2.6666666666666665,2.5,1,1.0,60.69612581977167,-124,thin
Josh Naylor,josh naylor,SEA,16,13,8,0.6153846153846154,0.53207675491863,0.1875,0.6875,3.3076923076923075,3.25,0,,60.26233519797283,-114,strong
Marcus Semien,marcus semien,NYM,18,16,9,0.5625,0.510782816891634,0.1111111111111111,0.6111111111111112,3.0,6.444444444444445,0,,60.246830284162115,-104,strong
Miguel Vargas,miguel vargas,CWS,18,16,9,0.5625,0.510782816891634,0.1111111111111111,0.6111111111111112,3.1875,3.0555555555555554,0,,60.246830284162115,-104,strong
Andrew Benintendi,andrew benintendi,CWS,15,14,8,0.5714285714285714,0.5116122643448366,0.06666666666666667,0.6,2.7142857142857144,5.333333333333333,0,,60.20755280726015,-105,strong
Elly De La Cruz,elly de la cruz,CIN,15,14,8,0.5714285714285714,0.5116122643448366,0.06666666666666667,0.6,3.5,2.0,0,,60.20755280726015,-105,strong
Tyler Soderstrom,tyler soderstrom,ATH,17,13,8,0.6153846153846154,0.53207675491863,0.23529411764705882,0.7058823529411765,3.0,4.294117647058823,0,,60.11649902127478,-114,strong
Carter Jensen,carter jensen,KC,15,15,8,0.5333333333333333,0.49266366196169453,0.0,0.5333333333333333,2.7333333333333334,4.666666666666667,3,0.6666666666666666,60.09602590227927,103,strong
Bryan Reynolds,bryan reynolds,PIT,17,11,7,0.6363636363636364,0.5348660379550327,0.35294117647058826,0.7647058823529411,3.272727272727273,3.0588235294117645,0,,60.08366261903269,-115,usable
Corbin Carroll,corbin carroll,AZ,16,9,6,0.6666666666666666,0.5381866129983691,0.4375,0.8125,3.5555555555555554,2.0,0,,59.99366129983691,-117,usable
Jackson Chourio,jackson chourio,MIL,16,11,7,0.6363636363636364,0.5348660379550327,0.3125,0.75,3.727272727272727,1.3125,6,0.5,59.936603795503274,-115,usable
Jarren Duran,jarren duran,BOS,16,11,7,0.6363636363636364,0.5348660379550327,0.3125,0.75,4.181818181818182,1.0,11,0.6363636363636364,59.936603795503274,-115,usable
Ketel Marte,ketel marte,AZ,16,11,7,0.6363636363636364,0.5348660379550327,0.3125,0.75,3.8181818181818183,1.0,11,0.6363636363636364,59.936603795503274,-115,usable
William Contreras,william contreras,MIL,15,9,6,0.6666666666666666,0.5381866129983691,0.4,0.8,3.5555555555555554,3.3333333333333335,0,,59.86866129983691,-117,usable
Konnor Griffin,konnor griffin,PIT,14,9,6,0.6666666666666666,0.5381866129983691,0.35714285714285715,0.7857142857142857,3.3333333333333335,4.714285714285714,1,1.0,59.72580415697976,-117,usable
Byron Buxton,byron buxton,MIN,11,9,6,0.6666666666666666,0.5381866129983691,0.18181818181818182,0.7272727272727273,3.5555555555555554,1.0,9,0.6666666666666666,59.584684642310364,-117,usable
Jazz Chisholm Jr.,jazz chisholm,NYY,13,9,6,0.6666666666666666,0.5381866129983691,0.3076923076923077,0.7692307692307693,3.5555555555555554,5.3076923076923075,0,,59.5609689921446,-117,usable
Jeremy Peña,jeremy pena,HOU,13,9,6,0.6666666666666666,0.5381866129983691,0.3076923076923077,0.7692307692307693,3.111111111111111,1.4615384615384615,7,0.7142857142857143,59.5609689921446,-117,usable
Josh Lowe,josh lowe,LAA,7,5,4,0.8,0.5471716984097501,0.2857142857142857,0.8571428571428571,1.6,7.714285714285714,0,,59.53859841240358,-121,usable
Pedro Pagés,pedro pages,STL,8,8,5,0.625,0.5150959436482876,0.0,0.625,2.5,8.125,0,,59.43925407093858,-106,usable
Coby Mayo,coby mayo,BAL,10,7,5,0.7142857142857143,0.5422062564718817,0.3,0.8,2.4285714285714284,6.9,0,,59.37062564718817,-118,usable
Bryson Stott,bryson stott,PHI,16,14,8,0.5714285714285714,0.5116122643448366,0.125,0.625,2.7857142857142856,6.3125,0,,59.290886140593486,-105,strong
Zach Neto,zach neto,LAA,16,15,8,0.5333333333333333,0.49266366196169453,0.0625,0.5625,3.4,1.4375,13,0.46153846153846156,58.84602590227927,103,strong
Brooks Lee,brooks lee,MIN,17,14,8,0.5714285714285714,0.5116122643448366,0.17647058823529413,0.6470588235294118,2.857142857142857,2.8823529411764706,0,,58.48206261118172,-105,strong
Jake Burger,jake burger,TEX,17,14,8,0.5714285714285714,0.5116122643448366,0.17647058823529413,0.6470588235294118,3.0,5.117647058823529,0,,58.48206261118172,-105,strong
Rafael Devers,rafael devers,SF,17,14,8,0.5714285714285714,0.5116122643448366,0.17647058823529413,0.6470588235294118,3.2857142857142856,3.764705882352941,0,,58.48206261118172,-105,strong
Cedric Mullins,cedric mullins,TB,14,12,7,0.5833333333333334,0.5125799530402396,0.14285714285714285,0.6428571428571429,3.25,7.071428571428571,0,,58.30908358156236,-105,strong
Richie Palacios,richie palacios,TB,14,12,7,0.5833333333333334,0.5125799530402396,0.14285714285714285,0.6428571428571429,3.0,5.5,0,,58.30908358156236,-105,strong
Riley Greene,riley greene,DET,18,14,8,0.5714285714285714,0.5116122643448366,0.2222222222222222,0.6666666666666666,3.142857142857143,4.055555555555555,0,,58.12789310115033,-105,strong
Brandon Nimmo,brandon nimmo,TEX,17,15,8,0.5333333333333333,0.49266366196169453,0.11764705882352941,0.5882352941176471,3.3333333333333335,2.764705882352941,0,,57.743084725808686,103,strong
Geraldo Perdomo,geraldo perdomo,AZ,17,15,8,0.5333333333333333,0.49266366196169453,0.11764705882352941,0.5882352941176471,3.3333333333333335,3.0,0,,57.743084725808686,103,strong
Randy Arozarena,randy arozarena,SEA,17,15,8,0.5333333333333333,0.49266366196169453,0.11764705882352941,0.5882352941176471,3.2666666666666666,3.7058823529411766,0,,57.743084725808686,103,strong
Brandon Lowe,brandon lowe,PIT,17,12,7,0.5833333333333334,0.5125799530402396,0.29411764705882354,0.7058823529411765,3.0833333333333335,2.8823529411764706,0,,57.71681883343573,-105,strong
Casey Schmitt,casey schmitt,SF,17,12,7,0.5833333333333334,0.5125799530402396,0.29411764705882354,0.7058823529411765,3.1666666666666665,2.823529411764706,2,0.5,57.71681883343573,-105,strong
Nick Kurtz,nick kurtz,ATH,17,12,7,0.5833333333333334,0.5125799530402396,0.29411764705882354,0.7058823529411765,3.5,2.0,3,0.3333333333333333,57.71681883343573,-105,strong
Willy Adames,willy adames,SF,17,12,7,0.5833333333333334,0.5125799530402396,0.29411764705882354,0.7058823529411765,3.5,3.1176470588235294,6,0.6666666666666666,57.71681883343573,-105,strong
Jo Adell,jo adell,LAA,17,16,8,0.5,0.47506853117734826,0.058823529411764705,0.5294117647058824,3.125,5.294117647058823,0,,57.610042235609356,110,strong
Matt Olson,matt olson,ATL,17,16,8,0.5,0.47506853117734826,0.058823529411764705,0.5294117647058824,3.375,3.0588235294117645,0,,57.610042235609356,110,strong
Pete Alonso,pete alonso,BAL,16,12,7,0.5833333333333334,0.5125799530402396,0.25,0.6875,3.4166666666666665,3.875,0,,57.53299530402396,-105,strong
Jonathan Aranda,jonathan aranda,TB,15,10,6,0.6,0.5137235851348069,0.3333333333333333,0.7333333333333333,3.5,2.6,0,,57.20569184681402,-106,usable
Marcell Ozuna,marcell ozuna,PIT,9,9,5,0.5555555555555556,0.4905675653793215,0.0,0.5555555555555556,3.3333333333333335,5.444444444444445,0,,57.18641624404197,104,usable
Nolan Arenado,nolan arenado,AZ,14,10,6,0.6,0.5137235851348069,0.2857142857142857,0.7142857142857143,3.0,4.0,0,,57.01521565633783,-106,usable
Edwin Arroyo,edwin arroyo,CIN,1,1,1,1.0,0.48476299022813474,0.0,1.0,3.0,8.0,0,,57.0059587289233,106,thin
Elias Díaz,elias diaz,KC,1,1,1,1.0,0.48476299022813474,0.0,1.0,2.0,8.0,0,,57.0059587289233,106,thin
Felix Reyes,felix reyes,PHI,1,1,1,1.0,0.48476299022813474,0.0,1.0,1.0,8.0,0,,57.0059587289233,106,thin
Gabriel Gonzalez,gabriel gonzalez,MIN,1,1,1,1.0,0.48476299022813474,0.0,1.0,3.0,5.0,0,,57.0059587289233,106,thin
Jordan Beck,jordan beck,COL,1,1,1,1.0,0.48476299022813474,0.0,1.0,3.0,1.0,1,1.0,57.0059587289233,106,thin
Ryan Ward,ryan ward,LAD,1,1,1,1.0,0.48476299022813474,0.0,1.0,1.0,7.0,0,,57.0059587289233,106,thin
Gabriel Moreno,gabriel moreno,AZ,13,10,6,0.6,0.5137235851348069,0.23076923076923078,0.6923076923076923,3.2,6.384615384615385,0,,56.795435436557604,-106,usable
Isiah Kiner-Falefa,isiah kiner-falefa,BOS,13,10,6,0.6,0.5137235851348069,0.23076923076923078,0.6923076923076923,2.6,7.769230769230769,0,,56.795435436557604,-106,usable
Kyle Schwarber,kyle schwarber,PHI,13,10,6,0.6,0.5137235851348069,0.23076923076923078,0.6923076923076923,3.5,1.6153846153846154,5,0.8,56.795435436557604,-106,usable
Will Smith,will smith,LAD,13,10,6,0.6,0.5137235851348069,0.23076923076923078,0.6923076923076923,3.1,5.384615384615385,0,,56.795435436557604,-106,usable
Bryan Torres,bryan torres,STL,7,6,4,0.6666666666666666,0.5167732707203195,0.14285714285714285,0.7142857142857143,2.8333333333333335,6.857142857142857,0,,56.74270106385607,-107,usable
Rikuu Nishida,rikuu nishida,CWS,7,6,4,0.6666666666666666,0.5167732707203195,0.14285714285714285,0.7142857142857143,2.3333333333333335,8.714285714285714,0,,56.74270106385607,-107,usable
Nathaniel Lowe,nathaniel lowe,CIN,12,8,5,0.625,0.5150959436482876,0.3333333333333333,0.75,2.75,5.916666666666667,0,,56.60959436482876,-106,usable
JJ Wetherholt,jj wetherholt,STL,15,13,7,0.5384615384615384,0.49207675491863007,0.13333333333333333,0.6,3.6153846153846154,1.0,13,0.5384615384615384,56.47066853130617,103,strong
Matt Vierling,matt vierling,DET,15,13,7,0.5384615384615384,0.49207675491863007,0.13333333333333333,0.6,2.8461538461538463,4.4,3,0.3333333333333333,56.47066853130617,103,strong
Shea Langeliers,shea langeliers,ATH,15,13,7,0.5384615384615384,0.49207675491863007,0.13333333333333333,0.6,3.5384615384615383,2.466666666666667,1,0.0,56.47066853130617,103,strong
Marcelo Mayer,marcelo mayer,BOS,15,15,7,0.4666666666666667,0.4556266249246575,0.0,0.4666666666666667,2.3333333333333335,7.066666666666666,0,,56.39232219857557,119,strong
Nick Sogard,nick sogard,BOS,11,8,5,0.625,0.5150959436482876,0.2727272727272727,0.7272727272727273,2.625,6.636363636363637,0,,56.38232163755603,-106,usable
Masyn Winn,masyn winn,STL,15,14,7,0.5,0.47315072588329815,0.06666666666666667,0.5333333333333333,3.142857142857143,5.533333333333333,1,0.0,56.361398961106296,111,strong
Jonny DeLuca,jonny deluca,TB,7,7,4,0.5714285714285714,0.4895746775245133,0.0,0.5714285714285714,2.7142857142857144,5.857142857142857,0,,56.18712745856115,104,usable
Leo Jiménez,leo jimenez,MIA,7,7,4,0.5714285714285714,0.4895746775245133,0.0,0.5714285714285714,2.4285714285714284,6.142857142857143,0,,56.18712745856115,104,usable
Michael Helman,michael helman,TEX,7,7,4,0.5714285714285714,0.4895746775245133,0.0,0.5714285714285714,2.2857142857142856,7.857142857142857,0,,56.18712745856115,104,usable
Taylor Trammell,taylor trammell,HOU,6,4,3,0.75,0.5188699295603595,0.3333333333333333,0.8333333333333334,3.0,3.6666666666666665,0,,56.02032628936928,-108,thin
Miguel Andujar,miguel andujar,SD,16,13,7,0.5384615384615384,0.49207675491863007,0.1875,0.625,3.0,3.2,0,,55.63733519797283,103,strong
TJ Rumfield,tj rumfield,COL,16,13,7,0.5384615384615384,0.49207675491863007,0.1875,0.625,2.6923076923076925,3.5625,0,,55.63733519797283,103,strong
Tristan Peters,tristan peters,CWS,16,13,7,0.5384615384615384,0.49207675491863007,0.1875,0.625,2.6923076923076925,7.375,0,,55.63733519797283,103,strong
Vinnie Pasquantino,vinnie pasquantino,KC,16,13,7,0.5384615384615384,0.49207675491863007,0.1875,0.625,3.3846153846153846,3.6875,0,,55.63733519797283,103,strong
Matt Chapman,matt chapman,SF,17,13,7,0.5384615384615384,0.49207675491863007,0.23529411764705882,0.6470588235294118,3.3846153846153846,5.411764705882353,0,,55.528263727157125,103,strong
Michael Harris II,michael harris ii,ATL,17,13,7,0.5384615384615384,0.49207675491863007,0.23529411764705882,0.6470588235294118,3.4615384615384617,4.294117647058823,0,,55.528263727157125,103,strong
Nico Hoerner,nico hoerner,CHC,17,13,7,0.5384615384615384,0.49207675491863007,0.23529411764705882,0.6470588235294118,3.5384615384615383,1.8235294117647058,6,0.5,55.528263727157125,103,strong
Christopher Morel,christopher morel,MIA,10,10,5,0.5,0.46826903968026146,0.0,0.5,2.4,6.2,0,,55.40656367413597,114,usable
Kevin McGonigle,kevin mcgonigle,DET,18,11,6,0.5454545454545454,0.4913877770854675,0.3888888888888889,0.7222222222222222,3.3636363636363638,1.5,6,0.5,55.31099993076897,104,usable
Joe Mack,joe mack,MIA,13,11,6,0.5454545454545454,0.4913877770854675,0.15384615384615385,0.6153846153846154,2.3636363636363638,8.538461538461538,0,,55.245360491579646,104,usable
Henry Bolte,henry bolte,ATH,16,14,7,0.5,0.47315072588329815,0.125,0.5625,2.5,5.8125,1,0.0,55.19473229443963,111,strong
Yordan Alvarez,yordan alvarez,HOU,16,14,7,0.5,0.47315072588329815,0.125,0.5625,3.2142857142857144,2.6875,0,,55.19473229443963,111,strong
Tim Tawa,tim tawa,AZ,5,5,3,0.6,0.4883481689979854,0.0,0.6,2.0,8.2,0,,55.16447660590836,105,usable
Kody Clemens,kody clemens,MIN,17,11,6,0.5454545454545454,0.4913877770854675,0.35294117647058826,0.7058823529411765,3.090909090909091,4.470588235294118,0,,55.14760123795852,104,usable
Christian Walker,christian walker,HOU,16,15,7,0.4666666666666667,0.4556266249246575,0.0625,0.5,3.2666666666666666,3.75,0,,55.14232219857557,119,strong
Fernando Tatis Jr.,fernando tatis,SD,16,11,6,0.5454545454545454,0.4913877770854675,0.3125,0.6875,3.272727272727273,1.1875,8,0.75,54.96377770854675,104,usable
Jorge Soler,jorge soler,LAA,16,11,6,0.5454545454545454,0.4913877770854675,0.3125,0.6875,2.909090909090909,4.0,0,,54.96377770854675,104,usable
Taylor Ward,taylor ward,BAL,16,11,6,0.5454545454545454,0.4913877770854675,0.3125,0.6875,3.8181818181818183,1.125,10,0.5,54.96377770854675,104,usable
Chandler Simpson,chandler simpson,TB,15,11,6,0.5454545454545454,0.4913877770854675,0.26666666666666666,0.6666666666666666,3.272727272727273,2.6666666666666665,6,0.6666666666666666,54.755444375213415,104,usable
Gavin Sheets,gavin sheets,SD,15,11,6,0.5454545454545454,0.4913877770854675,0.26666666666666666,0.6666666666666666,3.0,3.066666666666667,0,,54.755444375213415,104,usable
Mickey Gasper,mickey gasper,BOS,14,11,6,0.5454545454545454,0.4913877770854675,0.21428571428571427,0.6428571428571429,2.090909090909091,3.7,0,,54.51734913711818,104,usable
Samuel Basallo,samuel basallo,BAL,14,11,6,0.5454545454545454,0.4913877770854675,0.21428571428571427,0.6428571428571429,2.1818181818181817,5.0,0,,54.51734913711818,104,usable
Curtis Mead,curtis mead,WSH,14,9,5,0.5555555555555556,0.4905675653793215,0.35714285714285715,0.7142857142857143,2.7777777777777777,3.0,0,,54.249613680789295,104,usable
Jarred Kelenic,jarred kelenic,CWS,8,8,4,0.5,0.4650959436482876,0.0,0.5,2.125,7.0,0,,54.18925407093858,115,usable
Patrick Bailey,patrick bailey,CLE,8,8,4,0.5,0.4650959436482876,0.0,0.5,2.125,8.125,0,,54.18925407093858,115,usable
Joc Pederson,joc pederson,TEX,17,15,7,0.4666666666666667,0.4556266249246575,0.11764705882352941,0.5294117647058824,2.4,1.625,12,0.5833333333333334,54.03938102210498,119,strong
Yandy Díaz,yandy diaz,TB,14,7,4,0.5714285714285714,0.4895746775245133,0.5,0.7857142857142857,3.142857142857143,2.7142857142857144,2,0.5,53.96461060959418,104,usable
Ty France,ty france,SD,11,9,5,0.5555555555555556,0.4905675653793215,0.18181818181818182,0.6363636363636364,2.3333333333333335,6.9,0,,53.9136889713147,104,usable
Ronald Acuña Jr.,ronald acuna,ATL,12,9,5,0.5555555555555556,0.4905675653793215,0.25,0.6666666666666666,3.7777777777777777,1.0,9,0.5555555555555556,53.773423204598814,104,usable
Carson Benge,carson benge,NYM,18,14,7,0.5,0.47315072588329815,0.2222222222222222,0.6111111111111112,3.5,1.0,14,0.5,53.726183699440924,111,strong
Vaughn Grissom,vaughn grissom,LAA,14,12,6,0.5,0.470913286373573,0.14285714285714285,0.5714285714285714,3.25,2.9285714285714284,1,0.0,53.71384548632427,112,strong
Dominic Smith,dominic smith,ATL,14,13,6,0.46153846153846156,0.4520767549186301,0.07142857142857142,0.5,2.0,6.090909090909091,0,,53.7087637694014,121,strong
Justin Foscue,justin foscue,TEX,14,13,6,0.46153846153846156,0.4520767549186301,0.07142857142857142,0.5,2.5384615384615383,6.0,1,0.0,53.7087637694014,121,strong
Ramón Laureano,ramon laureano,SD,14,13,6,0.46153846153846156,0.4520767549186301,0.07142857142857142,0.5,2.6153846153846154,6.928571428571429,0,,53.7087637694014,121,strong
Garrett Mitchell,garrett mitchell,MIL,12,7,4,0.5714285714285714,0.4895746775245133,0.4166666666666667,0.75,2.4285714285714284,5.833333333333333,0,,53.60746775245133,104,usable
Ryan McMahon,ryan mcmahon,NYY,11,10,5,0.5,0.46826903968026146,0.09090909090909091,0.5454545454545454,2.7,6.545454545454546,0,,53.58838185595415,114,usable
Bo Bichette,bo bichette,NYM,18,16,7,0.4375,0.43935424546306256,0.1111111111111111,0.5,3.3125,2.0,0,,52.99286203019386,128,strong
Liam Hicks,liam hicks,MIA,18,16,7,0.4375,0.43935424546306256,0.1111111111111111,0.5,3.4375,2.2777777777777777,2,0.5,52.99286203019386,128,strong
Josh Bell,josh bell,MIN,17,12,6,0.5,0.470913286373573,0.29411764705882354,0.6470588235294118,3.0,3.9411764705882355,0,,52.961916872651415,112,strong
Julio Rodríguez,julio rodriguez,SEA,17,12,6,0.5,0.470913286373573,0.29411764705882354,0.6470588235294118,3.4166666666666665,2.0,0,,52.961916872651415,112,strong
